Company Name,Year,Total Funding Raised (USD or INR),Number of Funding Rounds,Last Funding Date,Team Size,Founding Year,Age (Years),Tech Stack / Core AI Capabilities,Customer/User Base Size,Revenue,Product Launches / Updates (last 2 years),Industry/Category Tags
Aarogya Tech,2022,null,null,null,null,2023,null,null,null,null,null,HealthTech;Healthcare;MedTech
Aarogya Tech,2023,$100K,1,2023-05,5,2023,0,HealthTech;Patient Monitoring;Data Analytics,5+,null,Early Development,HealthTech;Healthcare;MedTech
Aarogya Tech,2024,null,null,null,null,2023,1,HealthTech;Patient Monitoring;Data Analytics,10+,null,Disease-specific Patient Monitoring System;DocSeva.com,HealthTech;Healthcare;MedTech
Alt Carbon,2022,null,null,null,null,2023,null,null,null,null,null,CleanTech;AgriTech;Climate Tech
Alt Carbon,2023,$200K,1,2023-03,8,2023,0,Carbon Sequestration;Agriculture Tech,null,null,Early Development,CleanTech;AgriTech;Climate Tech
Alt Carbon,2024,null,null,null,null,2023,1,Carbon Sequestration;Agriculture Tech,null,null,Carbon Removal Technology,CleanTech;AgriTech;Climate Tech
Ambiator,2022,null,null,null,null,2024,null,null,null,null,null,CleanTech;Energy;Sustainability
Ambiator,2023,null,null,null,null,2024,null,null,null,null,null,CleanTech;Energy;Sustainability
Ambiator,2024,null,null,null,null,2024,0,Energy-efficient Cooling;CleanTech,null,null,Sustainable Cooling Systems,CleanTech;Energy;Sustainabilit
Clueso,2022,null,null,null,null,2024,null,null,null,null,null,AI;EdTech;Enterprise SaaS
Clueso,2023,null,null,null,null,2024,null,null,null,null,null,AI;EdTech;Enterprise SaaS
Clueso,2024,null,null,null,null,2024,0,Generative AI;Instructional Content,null,null,Training Video Generation,AI;EdTech;Enterprise SaaS
Covrzy,2022,null,null,null,null,2023,null,null,null,null,null,InsurTech;SME Services;Business Insurance
Covrzy,2023,$150K,1,2023-06,10,2023,0,InsurTech;Recommendation Engine;WhatsApp Integration,75+,null,Early Development,InsurTech;SME Services;Business Insurance
Covrzy,2024,null,null,null,null,2023,1,InsurTech;Recommendation Engine;WhatsApp Integration,150+,null,Insurance Recommendation Engine;WhatsApp Chatbot,InsurTech;SME Services;Business Insurance
CRED,2022,$534M,5,2022-12,533,2018,4,FinTech;Credit Card Management;Rewards Platform,5M+,null,CRED Mint,FinTech;Consumer Tech;Credit Management
CRED,2023,$801M,7,2023-01,800,2018,5,FinTech;Credit Card Management;Rewards Platform,8M+,null,CRED Mint;CRED Store,FinTech;Consumer Tech;Credit Management
CRED,2024,$801M,7,2023-01,800+,2018,6,FinTech;Credit Card Management;Rewards Platform,11M+,null,CRED Mint;CRED Store;CRED Pay,FinTech;Consumer Tech;Credit Management
Flent,2022,null,null,null,null,2024,null,null,null,null,null,PropTech;Cloud Services;Real Estate
Flent,2023,null,null,null,null,2024,null,null,null,null,null,PropTech;Cloud Services;Real Estate
Flent,2024,$777K,1,2024-01,15,2024,0,Cloud Computing;Property Management,null,null,null,PropTech;Cloud Services;Real Estate
Go Do Good,2022,null,null,null,null,2024,null,null,null,null,null,Sustainability;Packaging;CleanTech
Go Do Good,2023,null,null,null,null,2024,null,null,null,null,null,Sustainability;Packaging;CleanTech
Go Do Good,2024,null,null,null,null,2024,0,Sustainable Packaging;Agro-waste Recycling,null,null,Eco-friendly Packaging Solutions,Sustainability;Packaging;CleanTech
Golden Feathers,2022,null,null,null,null,2024,null,null,null,null,null,Sustainability;Textile;Upcycling
Golden Feathers,2023,null,null,null,null,2024,null,null,null,null,null,Sustainability;Textile;Upcycling
Golden Feathers,2024,null,null,null,null,2024,0,Upcycling;Textile;Sustainable Materials,null,null,Feather-based Textiles and Paper,Sustainability;Textile;Upcycling
HouseEazy,2022,null,null,null,null,2023,null,null,null,null,null,PropTech;Real Estate;Resale
HouseEazy,2023,$5.9M,0,null,20,2023,0,PropTech;Transaction Management,null,null,Early Development,PropTech;Real Estate;Resale
HouseEazy,2024,$11.7M,1,2024-02,45,2023,1,PropTech;Transaction Management,null,null,null,PropTech;Real Estate;Resale
Jivi,2022,null,null,null,null,2024,null,null,null,null,null,HealthTech;AI;MedTech
Jivi,2023,null,null,null,null,2024,null,null,null,null,null,HealthTech;AI;MedTech
Jivi,2024,null,null,null,null,2024,0,AI;Healthcare;Diagnostics,null,null,null,HealthTech;AI;MedTech
Landeed,2022,null,null,null,null,2023,null,null,null,null,null,PropTech;LegalTech;Real Estate
Landeed,2023,$300K,1,2023-04,12,2023,0,Property Title Search;Legal Tech,null,null,Early Development,PropTech;LegalTech;Real Estate
Landeed,2024,null,null,null,null,2023,1,Property Title Search;Legal Tech,null,null,null,PropTech;LegalTech;Real Estate
MapMyCrop,2022,null,null,null,null,2024,null,null,null,null,null,AgriTech;AI;Data Analytics
MapMyCrop,2023,null,null,null,null,2024,null,null,null,null,null,AgriTech;AI;Data Analytics
MapMyCrop,2024,null,null,null,null,2024,0,AgriTech;AI;Multispectral Imaging,null,null,Crop Data Analytics Platform,AgriTech;AI;Data Analytics
